date_ymd,dau
2019-10-01,12799
2019-10-02,13074
2019-10-03,12977
2019-10-04,15907
2019-10-05,14282
2019-10-06,14162
2019-10-07,14216
2019-10-08,15670
2019-10-09,15685
2019-10-10,15594
2019-10-11,17533
2019-10-12,16521
2019-10-13,17817
2019-10-14,17649
2019-10-15,18223
2019-10-16,17353
2019-10-17,16666
2019-10-18,17820
2019-10-19,16465
2019-10-20,16834
2019-10-21,16307
2019-10-22,16136
2019-10-23,15908
2019-10-24,15172
2019-10-25,16769
2019-10-26,15242
2019-10-27,14962
2019-10-28,14706
2019-10-29,14303
2019-10-30,13887
2019-10-31,13804
