date_ymd,dau,view_count,purchase_count,gmv,avg_view_per_user,conversion_rate,avg_purchase_price
2019-10-01,12799,172221,2441,748890.62,13.455816860692241,0.014173648974283044,306.7966489143794
2019-10-02,13074,169059,2447,773641.23,12.93093162000918,0.01447423680490243,316.1590641601961
2019-10-03,12977,174081,2659,857984.08,13.414579640903137,0.015274498652925936,322.6717111696126
2019-10-04,15907,211866,3628,1123036.8699999999,13.319041931225247,0.01712403122728517,309.5470975744211
2019-10-05,14282,199306,3258,1017097.86,13.955048312561265,0.016346723129258528,312.18473296500923
2019-10-06,14162,196406,3052,938261.5,13.868521395283151,0.015539240145413073,307.42513106159896
2019-10-07,14216,183012,2969,821503.35,12.873663477771524,0.016222979913885428,276.69361737958906
2019-10-08,15670,195636,3245,951887.38,12.484747925973197,0.01658692674149952,293.33971648690294
2019-10-09,15685,199661,3314,1054579.55,12.72942301562002,0.016598133836853466,318.21953832226916
2019-10-10,15594,200093,3222,1023016.62,12.831409516480697,0.01610251233176573,317.5098137802607
2019-10-11,17533,230374,3974,1185784.0,13.139451320367307,0.017250210527229637,298.38550578761954
2019-10-12,16521,234519,3853,1151577.91,14.195206101325585,0.016429372460227104,298.87825330910977
2019-10-13,17817,265481,4631,1365883.32,14.900432171521581,0.01744380953815904,294.94349384582165
2019-10-14,17649,234912,4327,1500844.17,13.310215876253611,0.01841966353357853,346.85559741160154
2019-10-15,18223,234801,3887,1315956.24,12.884870767711135,0.016554443975962625,338.5531875482377
2019-10-16,17353,229056,4325,1402660.81,13.199792543076125,0.01888184548756636,324.31463815028906
2019-10-17,16666,218085,4225,1429716.35,13.085623424936998,0.019373180182039113,338.3944023668639
2019-10-18,17820,225587,3957,1375260.96,12.659203142536477,0.017540904396086653,347.5514177407127
2019-10-19,16465,220223,3530,1066479.16,13.375220163984208,0.016029206758603778,302.1187422096317
2019-10-20,16834,220194,3489,1068708.17,13.080313650944516,0.01584511839559661,306.3078733161364
2019-10-21,16307,204523,3569,1137308.37,12.542037161954989,0.017450360106198326,318.66303446343517
2019-10-22,16136,207589,3716,1142313.13,12.864960337134358,0.017900755820395107,307.4039639397201
2019-10-23,15908,203796,3665,1091055.51,12.81091274830274,0.01798366994445426,297.6959099590723
2019-10-24,15172,198932,3570,1077151.42,13.111784866860006,0.01794583073613094,301.72308683473386
2019-10-25,16769,220610,3790,1094021.04,13.155823245274018,0.01717963827569013,288.6599050131926
2019-10-26,15242,207602,3281,987018.07,13.620391024799895,0.015804279342202868,300.82842730874734
2019-10-27,14962,210237,3303,1016732.37,14.051396872075925,0.01571084062272578,307.820881017257
2019-10-28,14706,189037,3049,938071.38,12.854413164694682,0.016129117580156265,307.66526074122663
2019-10-29,14303,179302,2873,856390.52,12.535971474515836,0.016023245697203602,298.0823250957188
2019-10-30,13887,171661,3030,939655.06,12.361273133146108,0.017651068093509883,310.1171815181518
2019-10-31,13804,171670,2687,844750.61,12.436250362213851,0.01565212325974253,314.3842984741347
